Title,Equation,Main_Category,Notes
Lookback Option (Floating Strike),C_{floating} = S_t e^{-q(T-t)} Φ(a_1) - m_t e^{-r(T-t)} Φ(a_2) + additional terms,Option Pricing,Floating strike lookback option pricing
Compound Option (Geske),C_{compound} = S_t e^{-qT_2} M(a_1 b_1; √{T_1/T_2}) - K_2 e^{-r T_2} M(a_2 b_2; √{T_1/T_2}) - e^{-r T_1} K_1 Φ(a_2),Option Pricing,Option on an option using bivariate normal distribution
Parisian Option Pricing,Price via PDE with cumulative time variable A_t = ∫_0^t 1_{{S_u ≤ H}} du,Option Pricing,Parisian option with barrier duration requirement
Black-Scholes Price under Jumps,C = S_t e^{-q(T-t)} ( e^{-qτ} Φ(d_1) - e^{-rτ} α Φ(d_2) ),Option Pricing,Option pricing with jump component
Rainbow Option (Maximum),C_{max} = S^1_t e^{-q_1(T-t)} Φ(d_{11}) + S^2_t e^{-q_2(T-t)} Φ(d_{22}) - K e^{-r(T-t)} M(d_{11}-σ_1√{T-t} d_{22}-σ_2√{T-t}; ρ),Option Pricing,Option on maximum of two assets
Reset Date Valuation,P(t) = Σ_{i=1}^n E^{Q}[ L(T_{i-1} T_i) δ_i e^{-∫_t^{T_i} r_s ds} | ℱ_t ] + E^{Q}[ e^{-∫_t^{T_n} r_s ds} | ℱ_t ],Option Pricing,Floating rate note valuation at reset dates
Rho Sensitivity,ρ_C = ∂C/∂r = K (T-t) e^{-r(T-t)} Φ(d_2),Option Pricing,Price sensitivity to interest rates
SABR Implied Volatility,σ_{BS}(K) = α/((F K)^{(1-β)/2} (...) ) × z/x(z) × (1 + adjustment terms),Option Pricing,SABR stochastic volatility model implied volatility
Spread Option (Kirk Approximation),C ≈ e^{-r(T-t)} ( F_1 Φ(d_1) - (F_2 + K) Φ(d_2) ),Option Pricing,Approximation for spread option pricing
Theta Time Decay,Θ_C = -∂C/∂t = -(S e^{-q(T-t)} σ φ(d_1))/(2√{T-t}) + q S e^{-q(T-t)} Φ(d_1) - r K e^{-r(T-t)} Φ(d_2),Option Pricing,Time decay of option value
Vanna Cross Sensitivity,Vanna = ∂²V/∂S∂σ = -d_1 φ(d_1)/σ,Option Pricing,Cross sensitivity between delta and volatility
Vasicek Bond Price,P(t T) = A(t T) e^{-B(t T) r_t},Option Pricing,Bond price formula in Vasicek model
Vasicek Short Rate Distribution,r_T | r_t ~ 𝒩( r_t e^{-κ(T-t)} + θ(1 - e^{-κ(T-t)}) σ²/(2κ) (1 - e^{-2κ(T-t)}) ),Option Pricing,Conditional distribution of short rate in Vasicek model
Volga Second-Order Volatility,Volga = ∂²V/∂σ² = S_t φ(d_1) d_1 d_2 √{T-t},Option Pricing,Second-order volatility sensitivity
Binomial Tree (Cox-Ross-Rubinstein),V_0 = e^{-rΔt} Σ_{i=0}^n C(n i) p^i (1-p)^{n-i} max(S_0 u^i d^{n-i} - K 0),Option Pricing,Complete binomial tree option pricing
Merton Equity Valuation,E_t = V_t Φ(d_1) - D e^{-r(T-t)} Φ(d_2),Option Pricing,Merton model treating equity as call option on firm value
Delta (First-Order Sensitivity),Δ = ∂V/∂S = Φ(d_1) (call),Option Pricing,First-order price sensitivity to underlying asset
Gaussian Copula Default Correlation,X_i = √ρ Z + √{1 - ρ} ε_i,Option Pricing,Gaussian copula for modeling default correlations
Jarrow-Yildirim Nominal Rate,dn_t = (θ_n(t) - κ_n n_t) dt + σ_n dW_t^{n Q},Option Pricing,Jarrow-Yildirim model for nominal interest rates
Nelson-Siegel Yield Curve,y(τ) = β_0 + β_1 (1 - e^{-λ τ})/(λ τ) + β_2 ((1 - e^{-λ τ})/(λ τ) - e^{-λ τ}),Option Pricing,Parametric yield curve fitting model
One-Dimensional Itô's Lemma,dV = (∂V/∂t + μ ∂V/∂S + ½ σ² S² ∂²V/∂S²) dt + σ S ∂V/∂S dW,Option Pricing,Itô's lemma for functions of stochastic processes
Vanilla Interest Rate Swap,V_{swap} = Σ_{i=1}^n δ_i ( R_{fixed} - R_{floating} ) P(0 T_i),Option Pricing,Interest rate swap valuation formula
Variance Swap Fair Strike,K_{var} = (2/T) ( ∫_0^F P(K)/K² dK + ∫_F^∞ C(K)/K² dK ),Option Pricing,Fair strike for variance swap using option prices
Black-76 Model (Futures Options),C = e^{-r(T-t)} ( F_t Φ(d_1) - K Φ(d_2) ),Option Pricing,Black model for futures and forward options
Cross-Currency Basis Swap,V_{basis} = Σ_{i=1}^n δ_i ( R_{dom} - R_{for} ⋅ FX_{fwd} ) P(0 T_i),Option Pricing,Cross-currency basis swap valuation
FX Volatility Smile,σ_{imp}(K) = σ_{ATM} + Skew ⋅ ln(K/F) + ½ Volga ⋅ ln²(K/F),Option Pricing,Parametric FX volatility smile parameterization
Forward Rate Agreement,V_{FRA} = δ ( F_{actual} - F_{contract} ) P(0 T),Option Pricing,Forward rate agreement valuation
Milstein Scheme,S_{t+Δt} = S_t + (r - q) S_t Δt + σ S_t √{Δt} Z + ½ σ² S_t (Z² - 1) Δt,Option Pricing,Higher-order Monte Carlo discretization scheme
Svensson Extended Model,y(τ) = β_0 + β_1 (1-e^{-λ_1 τ})/(λ_1 τ) + β_2 ((1-e^{-λ_1 τ})/(λ_1 τ) - e^{-λ_1 τ}) + β_3 ((1-e^{-λ_2 τ})/(λ_2 τ) - e^{-λ_2 τ}),Option Pricing,Extended Nelson-Siegel with second curvature factor
t-Copula Distribution,C(u_1 u_2; ρ ν) = t_{ν ρ}( t_ν^{-1}(u_1) t_ν^{-1}(u_2) ),Option Pricing,t-copula for modeling tail dependence
APT with Idiosyncratic Risk,E[R_i] = r_f + Σ_{j=1}^k β_{ij} λ_j + θ_i σ_{ε i},Option Pricing,APT extension with priced idiosyncratic risk
Bootstrap Discount Factors,P(T_i) = (1 - Σ_{j=1}^{i-1} c_j P(T_j))/(1 + c_i),Option Pricing,Bootstrap method for zero-coupon prices
Effective Duration,D_{Eff} = -(1/P) (P(y+Δy) - P(y-Δy))/(2Δy),Option Pricing,Numerical duration calculation
Hull-White Extended Model,dr_t = (θ(t) - κ r_t) dt + σ dW_t^{Q},Option Pricing,Hull-White model with time-dependent drift
Overnight Index Swap,V_{OIS} = Σ_{i=1}^n ( (1/n) Σ_{j ∈ period i} r_{oj} ) P(0 T_i) - Σ_{i=1}^n R_{fixed} δ_i P(0 T_i),Option Pricing,Overnight index swap valuation
VIX Calculation,VIX² = (2/T) Σ_i (ΔK_i/K_i²) e^{rT} Q(K_i) - (1/T)(F/K_0 - 1)²,Option Pricing,VIX volatility index calculation formula
Forward Curve Extraction,f(t T) = -∂/∂T ln P(t T),Option Pricing,Extract forward rates from discount factors
Key Rate Duration,∂P/∂y_{t_i} ≈ -(P(y_{t_i}+Δ) - P(y_{t_i}-Δ))/(2Δ) ⋅ (1/P),Option Pricing,Sensitivity to specific maturity points
Monte Carlo American Options,V_j = max( Exercise_j e^{-rΔt} E[V_{j+1} | S_j] ),Option Pricing,Monte Carlo for American options using continuation values
Theta Time Decay,Θ_{call} = -(S_t φ(d_1) σ)/(2√{T-t}) - r K e^{-r(T-t)} Φ(d_2),Option Pricing,Black-Scholes theta for call options
Heath-Jarrow-Morton Framework,df(t T) = μ(t T) dt + σ(t T) dW_t^{Q},Option Pricing,General framework for forward rate modeling
Rho Interest Rate Sensitivity,ρ_{call} = ∂V/∂r = K (T-t) e^{-r(T-t)} Φ(d_2),Option Pricing,Price sensitivity to interest rate changes
ADI Finite Difference Method,(1 - Δt/2 A_x) u^* = (1 + Δt/2 A_y) u^n,Option Pricing,Alternating direction implicit method for multi-dimensional PDEs
ARIMA Time Series Model,(1 - Σ_{i=1}^p φ_i L^i) (1 - L)^d X_t = (1 + Σ_{j=1}^q θ_j L^j) ε_t,Option Pricing,Autoregressive integrated moving average model
LIBOR Market Model Advanced,dL_i(t) = μ_i(t) L_i(t) dt + σ_i(t) L_i(t) dW_i(t),Option Pricing,Advanced LIBOR Market Model specification
Rough Heston Affine Structure,E[exp(uX_T + vV_T)|F_t] = exp(ϕ(T-t u v) + ψ(T-t u v)V_t + ∫_t^T χ(T-s u v)Z_s ds),Option Pricing,Affine structure in rough Heston model
Almgren-Chriss Optimal Execution,E[C] = Σ τ |n_k| + ½ γ n_k² + λ σ²,Option Pricing,Optimal execution balancing impact and risk
