Title,Equation,Description,Source
"The Burkholder-Davis-Gundy inequalities provide crucial bounds for martingales. For any p > 0, there exist constants c_p, C_p such that:",c_p E[[M]_t^{p/2}] ≤ E[(M_t*)^p] ≤ C_p E[[M]_t^{p/2}],where M_t* = sup_{0≤s≤t} |M_s| is the running maximum. These inequalities connect the moments of the maximum process to the quadratic variation.,eq3/stochastic_calculus_primer.md
Untitled Equation,"dx_t = -\kappa_1 x_t dt + \sigma_1 dW_t^{1,\mathbb{Q}}",,eq3/minimax-primer/comprehensive-formulas.md; eq3/iflow-primer/financial-derivatives-primer.md; eq3/iflow-primer/formulas_part.md
Untitled Equation,"dy_t = -\kappa_2 y_t dt + \sigma_2 dW_t^{2,\mathbb{Q}}",,eq3/minimax-primer/comprehensive-formulas.md; eq3/iflow-primer/financial-derivatives-primer.md; eq3/iflow-primer/formulas_part.md
5. Heath-Jarrow-Morton (HJM) Framework,"df(t,T) = \mu(t,T) dt + \sigma(t,T) dW_t^{\mathbb{Q}}",Automatically extracted equation,eq3/minimax-primer/comprehensive-formulas.md; eq3/iflow-primer/financial-derivatives-primer.md; eq3/iflow-primer/formulas_part.md; eq3/iflow-primer/formulas.csv
2. Black-Cox First Passage Time Model,\text{Default time } \tau = \inf\{ t \ge 0 : V_t \le K(t) \},**Variables:** - K(t): Time-dependent default barrier (often exponential) - τ: First hitting time of the barrier,eq3/minimax-primer/comprehensive-formulas.md; eq3/iflow-primer/financial-derivatives-primer.md; eq3/iflow-primer/formulas_part.md
Effective Duration,D_Eff = - (1/P) [P(y+Delta y) - P(y-Delta y)]/(2 Delta y),Used for bonds with embedded options where price-yield is non-linear. Computed via finite difference with parallel yield shift. Captures effective sensitivity.,eq3/minimax-primer/formulas.csv
Capital Asset Pricing Model,E[R_i] - r_f = beta_i (E[R_m] - r_f) with beta_i = Cov(R_i,Factor Models,eq3/minimax-primer/formulas.csv
Semimartingale Decomposition,\int_0^t H_s dX_s = \int_0^t H_s dM_s + \int_0^t H_s dA_s,For general semimartingale X = M + A the integral decomposes into a stochastic integral with respect to the local martingale M and a Lebesgue-Stieltjes integral with respect to the finite variation process A. This decomposition is unique.,eq3/kimi-primer/financial-derivatives-pricing-formulas.csv
Monte Carlo Error,\epsilon \propto \frac{\sigma_{sample}}{\sqrt{M}},Convergence rate proportional to inverse square root of paths M.,eq3/gemini-primer/gemini_primer.csv; eq3/gemini-primer/gemini_primer.md
Leverage Function,L^2(S t) = \sigma_{LV}^2(S t) / \mathbb{E}[v_t | S_t = S],Calibration of leverage function via conditional expectation.,eq3/gemini-primer/gemini_primer.csv
Rough Volatility,\log v_t = \log v_0 + \eta \int_0^t (t-s)^{H-1/2} dW_s^v,Fractional BM with Hurst H < 0.5.,eq3/gemini-primer/gemini_primer.csv; eq3/gemini-primer/gemini_primer.md
CDO Synthetic Tranche,L_{tranche} = \max(L_{port} - A 0) - \max(L_{port} - D 0),Tranched credit exposure via CDS.,eq3/gemini-primer/gemini_primer.csv; eq3/gemini-primer/gemini_primer.md
IV Calibration,\sigma^{imp}: C^{BS}(S K T \sigma^{imp}) = C^{market},Root finding for implied vol.,eq3/gemini-primer/gemini_primer.csv; eq3/gemini-primer/gemini_primer.md
Vega-Weighted Divergence,D_{vega} = \sum \nu_i |C_i^{model_1} - C_i^{model_2}|,Model comparison across strikes.,eq3/gemini-primer/gemini_primer.csv; eq3/gemini-primer/gemini_primer.md
Untitled Equation,"Caplet = L \delta_k P(0, t_{k+1}) [F_k N(d_1) - K N(d_2)]",,eq3/gemini-primer/gemini_primer.md
Untitled Equation,VWAP = \frac{\sum_{i=1}^N P_i V_i}{\sum_{i=1}^N V_i},,eq3/gemini-primer/gemini_primer.md
Untitled Equation,KRD_k = -\frac{1}{P} \frac{\partial P}{\partial y_k},,eq3/gemini-primer/gemini_primer.md
Applying Black's formula yields the closed-form solution:,\text{Payer Swaption} = A(0) \left[ r_{FWD} N(d_1) - K N(d_2) \right],,eq3/interest_rate_derivatives_primer.txt
Untitled Equation,Î_strat = Σ_{k=1}^K p_k (1/n_k) Σ_{i=1}^{n_k} f(X_i^k),,eq3/monte_carlo_variance_reduction_II.txt
Untitled Equation,dv_t = \kappa(\theta - v_t)dt + \sigma\sqrt{v_t}dW_t^v,,eq3/heston-dynamics.txt; eq3/equity-derivatives-stochastic-volatility-primer.txt
Seasoned CPR Model,CPR_t^seasoned = CPR_t^base × Seasonality_{month(t)},"This equation incorporates seasonal prepayment patterns by adjusting the base CPR with multiplicative seasonal factors. Seasonality_{month(t)} is a factor typically ranging from approximately 0.6 to 1.4 depending on the month, reflecting empirical observations that prepayments peak during spring and summer (home buying season) and decline during fall and winter. The model captures the cyclical nature of housing market activity and refinancing behavior. Seasonal adjustments are crucial for accurate cash flow projection, as ignoring seasonality can lead to systematic mispricing of MBS.",eq3/fixed_income_primer.txt
3. Bootstrap Method for Discount Factors,P(T_i) = \frac{1 - \sum_{j=1}^{i-1} c_j P(T_j)}{1 + c_i},**Variables:** - P(T_i): Zero-coupon bond price for maturity T_i - c_j: Coupon rate of the j-th coupon bond - P(T_j): Previously bootstrapped discount factor - 1 + c_i: Gross return including coupon | Automatically extracted equation,eq3/minimax-primer/comprehensive-formulas.md; eq3/iflow-primer/financial-derivatives-primer.md; eq3/iflow-primer/formulas_part.md; eq3/iflow-primer/formulas.csv
Untitled Equation,\mathbb{E}[f(X)] = \mathbb{E}\left[ f(X) \frac{dP}{dP^*} \right],,eq3/minimax-primer/comprehensive-formulas.md
Untitled Equation,\mathbb{E}[R_i] - r_f = \beta_i (\mathbb{E}[R_M] - r_f),,eq3/minimax-primer/comprehensive-formulas.md
CDO-Squared (CDO2),V_CDO2 = sum_{i=1}^M w_i V_Tranche_i^{underlying CDO},Tranche on tranche. Second-order CDO. Nested tranche structure. More complex correlation exposure. Higher-order risk premia.,eq3/minimax-primer/formulas.csv
Extended Kalman Filter,hat x_{t|t} = hat x_{t|t-1} + K_t (y_t - h(hat x_{t|t-1})),First-order Taylor approximation of non-linearities. Linearized around current estimate. Used when E[dh/dx] computable. May diverge for strong non-linearities.,eq3/minimax-primer/formulas.csv
Malliavin Weight for Vega,H_2 = (1/xi) int_0^T (v_s - theta)/sqrt(v_s) dW_s^{(2)},Weight for variance parameter sensitivity. Vol of vol xi. Integration against variance process. Alternative to bump-and-revalue.,eq3/minimax-primer/formulas.csv
Ratchet Floater,"C_t = \max(C_{t-1} + S, \min(C_{t-1} + \text{Cap}, L_t))","A ratchet pays a coupon that can typically step up but not down (or adjust slowly). It is a path-dependent option embedded in a bond. The value depends heavily on the autocorrelation of interest rates. If rates are mean-reverting, ratchets are less valuable than if rates trend.",eq3/jules-primer/primer.csv
Linear SDE Solution,X_t = X_0 \exp\left[\left(\mu - \frac{\sigma^2}{2}\right)t + \sigma W_t\right],This geometric Brownian motion solution includes the volatility adjustment -sigma^2/2 known as the drift correction. This adjustment ensures that the discounted price process is a martingale under the risk-neutral measure which is fundamental to no-arbitrage pricing theory.,eq3/kimi-primer/financial-derivatives-pricing-formulas.csv
Unknown,dS_t = (r - \lambda\mu_J)S_t dt + \sigma S_t dW_t + S_t dJ_t,"This SDE describes the evolution of the spot price S_t in the Merton jump-diffusion model, which extends the Black-Scholes framework by incorporating jumps in the underlying asset price.",eq3/iflow-model-primer/derivatives-primer.csv
Swaption Pricing (Bachelier),V_{payer} = A(t) [(S(t) - K) N(d) + \sigma \sqrt{T} N'(d)],Normal model for swaptions used in low/negative rate environments.,eq3/gemini-primer/gemini_primer.csv; eq3/gemini-primer/gemini_primer.md
Expected Shortfall,ES_\alpha = \frac{1}{1-\alpha} \int_\alpha^1 VaR_u du,Conditional expectation of loss for losses exceeding VaR (coherent risk measure).,eq3/gemini-primer/gemini_primer.csv; eq3/gemini-primer/gemini_primer.md
Free Boundary Problem,\partial V/\partial t + \mathcal{L}V - rV = 0 for S > S^*(t),American put PDE with exercise boundary conditions.,eq3/gemini-primer/gemini_primer.csv
CAPM,\mathbb{E}[R_i] = R_f + \beta_i (\mathbb{E}[R_m] - R_f),Equilibrium expected return based on systematic risk.,eq3/gemini-primer/gemini_primer.csv; eq3/gemini-primer/gemini_primer.md
VIX Definition,VIX^2 = (2/T) \sum (\Delta K_i / K_i^2) e^{rT} Q(K_i) - ...,CBOE model-free implied volatility index.,eq3/gemini-primer/gemini_primer.csv
Prospect Theory,v(x) = x^\alpha for x \ge 0 and -\lambda(-x)^\beta for x < 0,Kahneman-Tversky value function.,eq3/gemini-primer/gemini_primer.csv
Probability Weighting,w(p) = p^\gamma / (p^\gamma + (1-p)^\gamma)^{1/\gamma},Overweighting small probabilities.,eq3/gemini-primer/gemini_primer.csv; eq3/gemini-primer/gemini_primer.md
Advanced term structure models like the LIBOR Market Model (LMM) provide more accurate pricing through:,dL_i(t) = \mu_i(t) L_i(t) dt + \sigma_i(t) L_i(t) dW_i(t),"Where L_i(t) represents the forward LIBOR rate for period [T_i, T_{i+1}], and correlation structure between Brownian motions captures the realistic co-movement of rates across the curve. Monte Carlo simulation of this system enables consistent pricing of both cash and physically settled swaptions within a unified framework. | The LMM specifies lognormal forward rate dynamics with drift adjustments under different measures.",eq3/interest_rate_derivatives_primer.txt; eq3/kimi-primer/financial-derivatives-pricing-formulas.csv
Untitled Equation,d = \sqrt{(\rho\sigma ui - \kappa)^2 + \sigma^2(ui + u^2)},,eq3/heston-characteristic.txt; eq3/equity-derivatives-stochastic-volatility-primer.txt
The inverse Radon-Nikodym derivative is given by:,dP/dQ|F_t = ζ_t^{-1} = exp{∫₀^t λ_s dW_s^Q - ½∫₀^t λ_s² ds},"For asset pricing, the state price density π_t is related to the Radon-Nikodym derivative via:",eq3/stochastic_calculus_primer.md
1. Vasicek Model,dr_t = \kappa(\theta - r_t) dt + \sigma dW_t^{\mathbb{Q}},"**Variables:** - κ: Speed of mean reversion (positive constant) - θ: Long-term mean level of the short rate - σ: Volatility of the short rate - dW_t^{\mathbb{Q}}: Brownian motion under risk-neutral measure - r_t: Short rate at time t | **Variables:** - σ√r_t: Volatility proportional to square root of rate - √: Square root (ensures non-negativity) - Other variables as in Vasicek | **Explanation:** CIR extends Vasicek by making volatility proportional to \(\sqrt{r_t}\), ensuring non-negative rates. The square-root process has a non-central chi-squared transition density.",eq3/minimax-primer/comprehensive-formulas.md; eq3/iflow-primer/financial-derivatives-primer.md; eq3/iflow-primer/formulas_part.md
2. Swap Market Model (SMM),dS_j(t) = \mu_j(t) S_j(t) dt + \sigma_j(t) S_j(t) dW_j(t),**Variables:** - S_j(t): Forward swap rate for swap j - σ_j(t): Volatility of swap rate j - dW_j(t): Brownian motion under annuity measure,eq3/minimax-primer/comprehensive-formulas.md
Untitled Equation,dv_t = \kappa(\theta - v_t) dt + \xi \sqrt{v_t} dW_v^{(2)},,eq3/minimax-primer/comprehensive-formulas.md
Cross Currency Basis Swap,V_basis = sum_{i=1}^n delta_i (R_dom - R_for * FX_fwd) P(0,FX Derivatives,eq3/minimax-primer/formulas.csv
Yield to Put (YTP),P = sum_{i=1}^{n_put} C_i/(1+y)^ti + 100/(1+y)^{T_put},Yield assuming put at first put date. Maximum of YTM and YTP is YTW. Used for yield comparison with put risk.,eq3/minimax-primer/formulas.csv
Gauss-Laguerre Quadrature,int_0^infty e^{-x} f(x) dx approx sum_{i=1}^n w_i f(x_i),Integration for Black-Scholes with characteristic function. Roots x_i and weights w_i from Laguerre polynomials. Exponential convergence for smooth integrands.,eq3/minimax-primer/formulas.csv
Brownian Bridge Approximation,W_t^{(n)} = j/n Z_1 + ... + (n-j)/n Z_n + sqrt(j(n-j)/n) Z_0,Conditional simulation of Brownian path given endpoints. Reduces dimension from N to 1. Used in quasi-Monte Carlo and conditioning techniques.,eq3/minimax-primer/formulas.csv
LIBOR Market Model (LMM),\frac{dL_k(t)}{L_k(t)} = \mu_k(t) dt + \sigma_k(t) dW_t,Models dynamics of observable discrete forward rates.,eq3/gemini-primer/gemini_primer.csv; eq3/gemini-primer/gemini_primer.md
Value at Risk (Parametric),VaR_\alpha = \sigma_{port} \Phi^{-1}(\alpha) V_{port},Maximum loss metric at confidence alpha.,eq3/gemini-primer/gemini_primer.csv; eq3/gemini-primer/gemini_primer.md
ColVA,ColVA = \int_0^T (r_{coll} - r_{OIS}) \mathbb{E}[C_t] dt,Collateral valuation adjustment for rate differential.,eq3/gemini-primer/gemini_primer.csv; eq3/gemini-primer/gemini_primer.md
Early Exercise Premium,C_{Am} = C_{Eu} + \int_t^T e^{-r(u-t)} q S^*(u) N(-d_1) du,Carr-Jarrow-Myneni decomposition of American option.,eq3/gemini-primer/gemini_primer.csv
Obizhaeva-Wang,dS_t = \sigma dW_t - \eta \dot{x}_t dt + \rho (S_t - S_t^0) dt,Optimal execution with temporary impact.,eq3/gemini-primer/gemini_primer.csv; eq3/gemini-primer/gemini_primer.md
Smart Order Routing,\min_{q_i} \sum [p_i(q_i) q_i + c_i(q_i)] s.t. \sum q_i = Q,Multi-venue execution optimization.,eq3/gemini-primer/gemini_primer.csv
Untitled Equation,"p_{12} = \Phi_2(\Phi^{-1}(p_1), \Phi^{-1}(p_2), \rho)",,eq3/gemini-primer/gemini_primer.md
Untitled Equation,"\hat{y} = \sum_{m=1}^M f_m(x), \quad f_m \in \mathcal{F}",,eq3/gemini-primer/gemini_primer.md
Untitled Equation,\psi(u) = 2d \ln\left(\frac{\cos(b/2)}{\cosh((au - ib)/2)}\right),,eq3/gemini-primer/gemini_primer.md
Untitled Equation,"Cov(W_t^H, W_s^H) = 1/2(|t|^{2H} + |s|^{2H} - |t-s|^{2H})",,eq3/rough_volatility_primer.txt
Euler-Maruyama Discretization:,"X_{t+Δt} = X_t + μ(X_t,t)Δt + σ(X_t,t)√Δt Z, where Z ~ N(0,1)","This represents the first-order strong Taylor approximation for stochastic differential equations. X_t is the state variable following dX_t = μ(X_t,t)dt + σ(X_t,t)dW_t. The method achieves strong order 0.5 and weak order 1.0, meaning the strong error E[|X_T - X_T^h|] = O(h^{0.5}) and weak error |E[f(X_T)] - E[f(X_T^h)]| = O(h) for sufficiently smooth test functions f. The Gaussian increment approximation becomes exact as Δt → 0, but for finite step sizes introduces discretization bias that compounds multiplicatively over paths. The stability condition requires Δt < 2/|μ'(X_t)| for mean-reverting processes, and the method exhibits poor performance for highly nonlinear drift coefficients or small noise intensities.",eq3/monte-carlo-numerical-methods.txt
Untitled Equation,"d_1 = ln(V_t/K) + (r + σ²/2)(T-t) / σ√(T-t)
d_2 = d_1 - σ√(T-t)",,eq3/credit_derivatives_structural_models.txt
Untitled Equation,dF_k(t) = F_k(t) * [μ_k(t)dt + σ_k(t) * dW_k^{T_{k+1}}(t)],,eq3/lmm_content.txt
Untitled Equation,\mathbb{E}[f(S)] = \frac{1}{2} \mathbb{E}[f(S) + f(S')],,eq3/minimax-primer/comprehensive-formulas.md
Physical Risk (Climate),V_phys = V_base - sum Loss_i * Exposure_i * Vulnerability_i,"Value impact from climate events. Acute: floods, hurricanes. Chronic: sea level rise. Geographic exposure analysis.",eq3/minimax-primer/formulas.csv
Cosine Method (COS),"V(x,t_0) \approx e^{-r \Delta t} \sum_{k=0}^{N-1} A_k V_k","The COS method expands the probability density function as a Fourier-Cosine series. It typically converges exponentially fast for smooth densities (like Heston), outperforming the FFT method in terms of speed and accuracy for small N. It is highly efficient for computing Greeks.",eq3/jules-primer/primer.csv
Binomial Tree,u_i^n = e^{-r\Delta t}[p u_{i+1}^{n+1} + (1-p) u_i^{n+1}],Backward induction for option pricing with risk-neutral probability p = (e^{r\Delta t} - d)/(u-d).,eq3/kimi-primer/financial-derivatives-pricing-formulas.csv
Unknown,\phi_{\theta}(u) = \exp\left( C_T(u) + D_T(u)v_0 + iu\ln(S_0) \right),The characteristic function is crucial for pricing European options in the Heston model using Fourier inversion techniques.,eq3/iflow-model-primer/derivatives-primer.csv
Macaulay Duration,D_{Mac} = \sum t_i C_i/(1+y)^{t_i} / \sum C_i/(1+y)^{t_i},Weighted average time to bond cash flows.,eq3/gemini-primer/gemini_primer.csv
Cointegration,y_t = \alpha + \beta x_t + u_t with \Delta u_t = \gamma u_{t-1},Long-run equilibrium relationship.,eq3/gemini-primer/gemini_primer.csv
Hawkes Process,\lambda(t) = \mu + \sum_{t_i < t} \alpha e^{-\beta(t - t_i)},Self-exciting point process for order arrivals.,eq3/gemini-primer/gemini_primer.csv; eq3/gemini-primer/gemini_primer.md
Quantum Option Pricing,|\psi\rangle = \sum \sqrt{p_i} |i\rangle |f(S_i)\rangle,Payoff encoded in quantum state.,eq3/gemini-primer/gemini_primer.csv
Untitled Equation,K = \sqrt{\sum_b K_b^2 + \sum_{b \ne c} \gamma_{bc} S_b S_c},,eq3/gemini-primer/gemini_primer.md
**Spread Options (Kirk Approximation for Two Assets)**,C \approx e^{-r(T-t)} \left( F_1 \Phi(d_1) - (F_2 + K) \Phi(d_2) \right),,eq3/iflow-primer/financial-derivatives-primer.md; eq3/iflow-primer/formulas_part2.md
Early Exercise Boundary:,"S*(t) = inf{S : G(S) ≥ e^{-rΔt}E[V(S_{t+Δt},t+Δt)|S_t = S]}","The early exercise boundary S*(t) represents the critical asset price below (for puts) or above (for calls) which immediate exercise becomes optimal. This free boundary is determined endogenously as part of the solution and satisfies the smooth pasting condition: ∂V/∂S|_{S=S*(t)} = ∂G/∂S|_{S=S*(t)} ensuring continuity of the delta at the boundary. Near expiration, the boundary exhibits singular behavior with asymptotic expansion S*(t) ~ K(1 - σ√(-2t ln(t))) for put options, where K is the strike price. The boundary is monotonic in time (decreasing for puts, increasing for calls) and satisfies the integral equation representation derived from the early exercise premium decomposition. Numerical approximation requires careful treatment of the boundary's singular behavior near expiration, often employing specialized algorithms such as the method of lines or integral equation approaches. The boundary's location directly impacts option values through the early exercise premium, making its accurate determination crucial for American option pricing. In tree methods, the boundary is implicitly determined by comparing exercise and continuation values at each node, with the finest resolution occurring at the final time step before expiration.",eq3/tree_methods_primer.txt
Refinancing Incentive Model,CPR_t^{refi} = α × Φ(β × (r_t - WAC_t) + γ × (WAC_t - r_t)_+ + ε_t),"This equation models refinancing-driven prepayments as a function of the incentive to refinance. r_t represents the current mortgage rate, WAC_t is the weighted average coupon of the MBS pool, and (x)_+ denotes the positive part function max(x,0). The term (r_t - WAC_t) captures the burnout effect (prepayments slow as high-coupon mortgages are removed), while (WAC_t - r_t)_+ captures refinancing incentive when current rates fall below pool coupon. Φ is the standard normal CDF, α scales overall prepayment speed, β controls sensitivity to burnout, γ measures refinancing intensity, and ε_t represents random shocks. This structure captures the path-dependent nature of refinancing behavior.",eq3/fixed_income_primer.txt
Equation: chi(z),x(z) = \ln\left( \frac{\sqrt{1-2\rho z + z^2} + z - \rho}{1 - \rho} \right),Automatically extracted equation,eq3/minimax-primer/comprehensive-formulas.md; eq3/iflow-primer/formulas.csv; eq3/iflow-primer/financial-derivatives-primer.md; eq3/iflow-primer/formulas_part2.md
1. Fundamental APT Pricing Formula (No Arbitrage),\mathbb{E}[R_i] = r_f + \sum_{j=1}^k \beta_{ij} \lambda_j,Variables: - r_f: Risk-free rate - \lambda_j: Risk premium (factor price) for factor j - \beta_{ij}: Factor sensitivity of asset i to factor j - \sum_{j=1}^k \beta_{ij} \lambda_j: Total systematic risk premium | Multi-factor linear model for expected returns.,eq3/minimax-primer/comprehensive-formulas.md; eq3/gemini-primer/gemini_primer.csv; eq3/gemini-primer/gemini_primer.md
Vasicek Portfolio Loss Distribution,Loss = LGD * Phi( [Phi^{-1}(PD) - sqrt(rho) Z]/sqrt(1-rho) ),"Large homogeneous portfolio loss conditional on systematic factor Z. Integration over Z gives unconditional distribution. PD, LGD, rho determine tranche pricing.",eq3/minimax-primer/formulas.csv
Black-Litterman Formula,Pi = tau Sigma [ (tau Sigma)^{-1} Pi_eq + Omega^{-1} mu_view ],"Bayesian blend of market equilibrium and views. tau: scaling parameter, Omega: view uncertainty. Result: posterior expected returns incorporating views with uncertainty.",eq3/minimax-primer/formulas.csv
Compound Poisson,dS_t = (r - lambda kappa) S_t dt + sigma S_t dW_t + S_t (Y - 1) dN_t,"Jumps with intensity lambda, jump size distribution Y. kappa = E[Y-1] compensates drift. Log-returns have compound Poisson-plus-normal distribution. | Compound Poisson jumps with intensity lambda. Jump size distribution: log Y ~ N(mu_J, sigma_J^2). Compensation lambda kappa ensures martingale: kappa = E[Y-1]. Captures fat tails.",eq3/minimax-primer/formulas.csv
Fast Fourier Transform (FFT),C(k) = F^{-1}{ phi(u - i alpha) / [(alpha+1)(iu+alpha)] }(k),Carr-Madan formula via FFT. O(N log N) complexity vs O(N^2) quadrature. Strike spacing Deltak determines accuracy. Modifications for non-uniform grids.,eq3/minimax-primer/formulas.csv
Snowball (Accrual),V_snowball = Notional * sum_{i=1}^n I(L < S_ti < H) * r_snow/n,Coupon accrues when spot in range. Skewed payoff: benefits from range-bound markets. Early redemption feature. Valuation via PDE or MC.,eq3/minimax-primer/formulas.csv
Optimal Execution (Almgren-Chriss),min_u E[ sum_{t=1}^T ( (S_t + eta dQ/dt) u_t - phi (dQ/dt)^2 ) ],Minimize execution cost and market impact. Trade-off: fast execution reduces price risk but increases impact. Closed-form solution: deterministic trajectory.,eq3/minimax-primer/formulas.csv
Yield to Call (YTC),P = sum_{i=1}^{n_call} C_i/(1+y)^ti + 100/(1+y)^{T_call},Yield assuming call at first call date. Minimum of YTM and YTC is YTW. Used for yield comparison with call risk.,eq3/minimax-primer/formulas.csv
Key Rate Duration,D_{KR}(t) = -\frac{1}{P} \frac{\partial P}{\partial r_t},"Key Rate Duration (or Partial Duration) measures the price sensitivity to a shift in a specific point (tenor) of the yield curve (e.g., 2y, 5y, 10y), while holding other rates constant. This allows for hedging non-parallel shifts (twists/turns) in the yield curve.",eq3/jules-primer/primer.csv
Tanaka's Formula,|B_t - a| = |B_0 - a| + \int_0^t \text{sgn}(B_s - a) dB_s + L_t^a,Tanaka's formula extends Ito's lemma to non-differentiable functions specifically the absolute value function. This decomposition reveals that |B_t - a| consists of three components: initial displacement stochastic integral and local time that accounts for time spent at the critical level.,eq3/kimi-primer/financial-derivatives-pricing-formulas.csv
Credit Value Adjustment,CVA = (1-R) \int_0^T \mathbb{E}[e^{-rt} V_t^+ 1_{\tau=t}],CVA represents the present value of expected losses from counterparty default with recovery rate R and default time tau. | DVA is the present value of expected gains from the calculating party's own default.,eq3/kimi-primer/financial-derivatives-pricing-formulas.csv
Explicit Euler Scheme,u_i^{n+1} = u_i^n + \lambda(u_{i+1}^n - 2u_i^n + u_{i-1}^n),Conditionally stable (lambda <= 1/2) first-order accurate in time finite difference scheme for parabolic PDEs.,eq3/kimi-primer/financial-derivatives-pricing-formulas.csv
RL Portfolio,V^*(s) = \max_a [ R(s a) + \gamma \sum_{s'} P(s'|s a) V^*(s') ],Bellman equation for portfolio allocation.,eq3/gemini-primer/gemini_primer.csv; eq3/gemini-primer/gemini_primer.md
Untitled Equation,"**Valid when:**
Cov(r_t, r_{t-1}) < 0 due to bid-ask bounce.",,eq3/gemini-primer/gemini_primer.md
Untitled Equation,\delta = \frac{2}{\gamma} \ln\left(1 + \frac{\gamma}{\kappa}\right),,eq3/gemini-primer/gemini_primer.md
Mark-to-Market Valuation:,"MTM(t) = (S_par(t,t_N) - S_contract) * RiskyAnnuity(t,t_N)",,eq3/cds-primer-content.txt
"D^Hψ(t,u) = F(u,ψ(t,u)), ψ(0,u) = 0","where D^Hψ(t,u) = (1/Γ(1-H)) d/dt ∫_0^t (t-s)^{-H}ψ(s,u)ds","The fractional Riccati equation governs the characteristic function exponent, where D^H denotes the fractional derivative operator. The nonlinear function F(u,v) = κ(θv - 1) + (1/2)σ^2v^2 + ρσuv incorporates model parameters and correlation ρ between price and volatility shocks. This fractional differential equation requires specialized numerical methods, typically involving discretization of the Volterra integral or Laplace transform techniques, fundamentally differing from classical ODE solutions.",eq3/rough-heston-primer.md
Untitled Equation,"P(N_t = k) = (Λ(t)^k / k!)exp(-Λ(t)), where Λ(t) = ∫_0^t λ(s)ds",,eq3/credit_derivatives_intensity_models.txt
3. Hull-White (Extended Vasicek) Model,dr_t = (\theta(t) - \kappa r_t) dt + \sigma dW_t^{\mathbb{Q}},**Variables:** - θ(t): Time-dependent function calibrated to fit initial curve - κ: Mean reversion speed - σ: Volatility - Other variables as in Vasicek | **Variables:** - \(\theta(t)\): Time-dependent function calibrated to fit initial yield curve,eq3/minimax-primer/comprehensive-formulas.md; eq3/iflow-primer/financial-derivatives-primer.md; eq3/iflow-primer/formulas_part.md
B. Risk-Neutral Density Extraction,f_{S_T}(K) = \frac{\partial^2 C}{\partial K^2} \bigg|_{K},**Variables:** - f_{S_T}(K): Risk-neutral density of terminal price at strike K - ∂²C/∂K²: Second derivative of call price with respect to strike,eq3/minimax-primer/comprehensive-formulas.md
Social Cost of Carbon,SCC = \int D'(C_t) (\partial C_t/\partial E_0) e^{-\rho t} dt,Marginal damage of CO2 emissions.,eq3/gemini-primer/gemini_primer.csv
Untitled Equation,\text{Payoff}_i = N \left[ \frac{I_{T_i}}{I_{T_{i-1}}} - (1 + K) \right],,eq3/gemini-primer/gemini_primer.md
Untitled Equation,\hat{\rho} = \frac{2}{n(n-1)} \sum_{i<j} \hat{\rho}_{ij},,eq3/gemini-primer/gemini_primer.md
Simplified Post-Reset Valuation,P(t) = 1 \quad \text{if } t \text{ is immediately after a reset},"Variables: ; Explanation: * Immediately after a reset, a floating rate note trades at par because the coupon is set to the market rate for the next period. | **Explanation:** Immediately after a reset, a floating rate note trades at par because the coupon is set to the market rate for the next period. | See markdown for detailed variables and explanation | Automatically extracted equation",eq3/iflow-primer/formulas_v2.csv; eq3/iflow-primer/financial-derivatives-primer.md; eq3/iflow-primer/formulas_part.md; eq3/iflow-primer/formulas_clean.csv; eq3/iflow-primer/formulas.csv
Untitled Equation,"**Variables:**
- \(y_{t_i}\): Yield at key maturity \(t_i\)",,eq3/iflow-primer/financial-derivatives-primer.md; eq3/iflow-primer/formulas_part.md
Untitled Equation,\text{Receiver Swaption} = A(0) \left[ K N(-d_2) - r_{FWD} N(-d_1) \right],,eq3/interest_rate_derivatives_primer.txt
Untitled Equation,g = \frac{\kappa - \rho\sigma ui - d}{\kappa - \rho\sigma ui + d},,eq3/heston-characteristic.txt; eq3/equity-derivatives-stochastic-volatility-primer.txt
Untitled Equation,[M]_t = lim_{n→∞} Σ_{k=0}^{⌊nt⌋-1} (M_{(k+1)/n} - M_{k/n})²,,eq3/stochastic_calculus_primer.md
Untitled Equation,W_t^H = c_H ∫_{-∞}^t [(t-s)_+^{H-1/2} - (-s)_+^{H-1/2}] dW_s,,eq3/rough_volatility_primer.txt
2. Swaption Pricing (Black-76),"C_{\text{swaption}} = P(0, T_e) \left( S_0 \Phi(d_1) - K \Phi(d_2) \right)",,eq3/minimax-primer/comprehensive-formulas.md
Monte Carlo Euler Scheme,S_{t+Deltat} = S_t + (r - q) S_t Deltat + sigma S_t sqrt(Deltat) Z,"First-order weak scheme for GBM. Z ~ N(0,1). Used for path simulation. Order of convergence: O(Deltat). Variance reduction improves efficiency. | **Variables:** - S_{t+\Delta t}: Simulated asset price at next time step - S_t: Current asset price - Δt: Time step size - Z ~ N(0,1): Standard normal random variable",eq3/minimax-primer/formulas.csv; eq3/minimax-primer/comprehensive-formulas.md
Excess Spread,ES = sum_{i=1}^n (AssetRate_i - LiabilityRate_i) * Balance_i,Credit enhancement from spread between assets and liabilities. First loss protection. Reduces required subordination. Critical for mezzanine tranches.,eq3/minimax-primer/formulas.csv
Arbitrage Conditions,\partial w / \partial T \ge 0 and \partial^2 C / \partial K^2 \ge 0,Calendar and butterfly no-arbitrage constraints.,eq3/gemini-primer/gemini_primer.csv
