Title,Equation,Main_Category,Notes
Variance Swap Payoff,N_{var} × (Realized Variance - K_{var}²),Interest Rate Models,Variance swap payoff based on difference between realized and strike variance. Provides pure exposure to volatility.
Realized Variance Calculation,σ_{realized}² = (252/N) ∑_{i=1}^N [ln(S_{t_i}/S_{t_{i-1}})]²,Interest Rate Models,Standard calculation for realized variance from daily returns. Annualized using 252 trading days convention.
Year-on-Year Inflation Swap,Payoff = N × (I_T/I_{T-1} - 1 - K),Interest Rate Models,Inflation swap exchanging fixed rate K for realized annual inflation rate. Path-dependent on inflation index movements.
Zero-Coupon Inflation Swap,Payoff = N × (I_T/I_0 - (1 + K)^T),Interest Rate Models,Zero-coupon inflation swap payoff at maturity. Single payment based on cumulative inflation over entire term.
Neural Network Approximation,V̂(S t;θ) ≈ V(S t),Numerical Methods,Deep learning approximation for option pricing. Neural network trained to approximate complex pricing functions.
Crank-Nicolson Finite Difference,∂V/∂t + (r-q)S ∂V/∂S + ½ σ² S² ∂²V/∂S² - rV = 0,Numerical Methods,Partial differential equation for option pricing solved using Crank-Nicolson scheme. Unconditionally stable finite difference method.
Binomial Tree Price (Complete),V_0 = exp(-rT) ∑_{j=0}^n C(n j) p^j (1-p)^{n-j} Payoff(S_0 u^j d^{n-j}),Numerical Methods,Complete binomial tree pricing formula. Sum over all paths weighted by risk-neutral probabilities.
Cholesky Decomposition,Σ = L × L^T,Numerical Methods,Matrix decomposition for generating correlated random variables. Essential for Monte Carlo simulation of multiple assets.
Crank-Nicolson Scheme,-λ/2 u_{i+1}^{n+1} + (1+λ)u_i^{n+1} - λ/2 u_{i-1}^{n+1} = λ/2 u_{i+1}^n + (1-λ)u_i^n + λ/2 u_{i-1}^n,Numerical Methods,Second-order accurate implicit finite difference scheme. Unconditionally stable for parabolic PDEs in option pricing.
Density from Characteristic Function,f(x) = 1/(2π) ∫_{-∞}^∞ e^{-iux} φ(u) du,Numerical Methods,Fourier inversion for probability density function. Enables option pricing when characteristic function is known but density is not.
Importance Sampling,V̂_{IS} = (1/N) ∑_{i=1}^N h(X_i) f(X_i)/q(X_i),Numerical Methods,Variance reduction technique for Monte Carlo simulation. Uses different sampling distribution to improve efficiency.
Least-Squares Monte Carlo,V(t_i S_{t_i}) = max(exercise value 𝔼^ℚ[e^{-r(t_{i+1}-t_i)} V(t_{i+1} S_{t_{i+1}})|S_{t_i}]),Numerical Methods,Longstaff-Schwartz algorithm for American option pricing. Uses regression to estimate continuation values.
Longstaff-Schwartz Algorithm,V_j = max(Exercise_j e^{-rΔt} 𝔼[V_{j+1}|S_j]),Numerical Methods,Backward induction algorithm for American options using least-squares regression to estimate continuation values.
Multi-Level Monte Carlo,𝔼_P[f] = ∑_{l=0}^L (1/M_l) ∑_{m=1}^{M_l} (Y_l^{(m)} - Y_{l-1}^{(m)}),Numerical Methods,Variance reduction technique using multiple discretization levels. Achieves optimal complexity for SDE simulation.
Sobol Sequence (Quasi-Monte Carlo),D_N^*(x_1 ... x_N) = O((log N)^s/N),Numerical Methods,Low-discrepancy sequence for quasi-Monte Carlo integration. Achieves nearly 1/N convergence rate compared to 1/√N for random sampling.
Asian Options (Geometric Average),C_{geom} = e^{-r(T-t)} (G_t e^{̄μ(T-t)} Φ(d_1) - K Φ(d_2)),Option Pricing,Closed-form solution for geometric Asian options. Effective volatility reduced to σ/√3 due to averaging effect.
Barrier Options (Down-and-Out Call),C_{DAO} = C_{BS} - (H/S_t)^{2λ} C_{BS}(H²/S_t K T r q σ),Option Pricing,Analytical formula for down-and-out barrier options using reflection principle. λ = (r-q+σ²/2)/σ².
Basket Options (Moment Matching),𝔼[B_T] = ∑ w_i F_i and Var(ln B_T) ≈ (∑_{i j} w_i w_j F_i F_j ρ_{ij} σ_i σ_j T)/(∑ w_i F_i)²,Option Pricing,Moment matching approximation for basket options. Treats basket as single lognormal asset with matched moments.
Black-76 Formula (Futures Options),C(F_t K T r σ) = e^{-r(T-t)} [F_t Φ(d_1) - K Φ(d_2)],Option Pricing,Black's model for options on futures contracts. Standard for interest rate and commodity derivatives.
Black-Scholes Partial Differential Equation,∂V/∂t + ½ σ² S² ∂²V/∂S² + r S ∂V/∂S - rV = 0,Option Pricing,Fundamental PDE governing European option prices under Black-Scholes assumptions. Must satisfy terminal payoff condition.
Black-Scholes-Merton Formula,C(S_t K T r q σ) = S_t e^{-q(T-t)} Φ(d_1) - K e^{-r(T-t)} Φ(d_2),Option Pricing,Nobel Prize-winning formula for European call options. Fundamental pricing relationship in quantitative finance.
CIR Conditional Density,r_T | r_t ~ Non-central χ² with df = 4κθ/σ² and λ = 4κ r_t e^{-κ(T-t)}/[σ²(1-e^{-κ(T-t)})],Option Pricing,Conditional distribution for Cox-Ingersoll-Ross short rate model. Non-central chi-squared with parameters ensuring positivity.
Charm (Delta Decay),Charm = ∂²V/∂t∂S = -∂Δ/∂t = -∂Θ/∂S,Option Pricing,Third-order Greek measuring how delta changes over time. Important for delta hedging rebalancing frequency decisions.
Delta Sensitivity,Δ_C = ∂C/∂S = e^{-q(T-t)} Φ(d_1),Option Pricing,First-order price sensitivity to underlying asset price. Measures hedge ratio for options and ranges from 0 to 1 for calls.
Exchange Options (Margrabe),V(S¹_t S²_t T) = S¹_t e^{-q_1(T-t)} Φ(d_1) - S²_t e^{-q_2(T-t)} Φ(d_2),Option Pricing,Option to exchange one asset for another. Closed-form solution using ratio of asset prices as underlying variable.
Explicit Finite Difference Scheme,V_i^{j+1} = α_i V_{i-1}^j + β_i V_i^j + γ_i V_{i+1}^j,Option Pricing,First-order explicit scheme for option pricing PDEs. Simple implementation but conditionally stable requiring small time steps.
G2++ Bond Price Formula,P(t T) = P(0 T)/P(0 t) exp(-½(V(t T) - V(0 T) + V(0 t)) - M_x(t T)x_t - M_y(t T)y_t),Option Pricing,Closed-form bond price solution for G2++ two-factor Gaussian model. Affine term structure with explicit formulas.
Gap Options,C_{gap} = S_t e^{-q(T-t)} Φ(d_1) - K_2 e^{-r(T-t)} Φ(d_2),Option Pricing,Options with trigger level K_1 different from strike K_2. Pays off only if underlying exceeds trigger and strike conditions.
Hull-White Bond Price,P(t T) = P(0 T)/P(0 t) exp(B(t T)f(0 t) - σ²B(t T)²(1-e^{-2κt})/(4κ) - B(t T)r_t),Option Pricing,Bond price formula for Hull-White extended Vasicek model. Time-dependent parameters allow exact calibration to initial yield curve.
Lookback Options (Floating Strike),C_{floating} = S_t e^{-q(T-t)} Φ(a_1) - m_t e^{-r(T-t)} Φ(a_2) + additional terms,Option Pricing,Options with payoff based on minimum price achieved during option life. Path-dependent exotic with closed-form solutions.
Option on a Call (Compound),C_{compound} = S_t e^{-qT_2} M(a_1 b_1;√{T_1/T_2}) - K_2 e^{-rT_2} M(a_2 b_2;√{T_1/T_2}) - e^{-rT_1} K_1 Φ(a_2),Option Pricing,Compound option to buy another option. Requires bivariate normal distribution M for valuation due to two exercise decisions.
Rainbow Options (Maximum of Two),C_{max} = S¹_t e^{-q_1(T-t)} Φ(d_{11}) + S²_t e^{-q_2(T-t)} Φ(d_{22}) - K e^{-r(T-t)} M(d_{11}-σ_1√{T-t} d_{22}-σ_2√{T-t}; ρ),Option Pricing,Option on maximum of two assets. Uses bivariate normal distribution to account for correlation between underlying assets.
Reset Date Valuation,P(t) = ∑_{i=1}^n 𝔼^ℚ[L(T_{i-1} T_i) δ_i e^{-∫_t^{T_i} r_s ds}|ℱ_t] + 𝔼^ℚ[e^{-∫_t^{T_n} r_s ds}|ℱ_t],Option Pricing,Floating rate note valuation at reset dates. Present value of future LIBOR payments plus principal repayment.
Rho Interest Rate Sensitivity,ρ_C = ∂C/∂r = K(T-t) e^{-r(T-t)} Φ(d_2),Option Pricing,Sensitivity of option price to changes in risk-free interest rate. Calls have positive rho puts have negative rho.
SABR Implied Volatility,σ_{BS}(K) = α/(FK)^{(1-β)/2} × z/x(z) × [1 + adjustment terms],Option Pricing,Market standard model for interest rate volatility smile. Four-parameter model capturing ATM volatility skew and smile.
Spread Options (Kirk Approximation),C ≈ e^{-r(T-t)} (F_1 Φ(d_1) - (F_2 + K) Φ(d_2)),Option Pricing,Approximation for options on spread between two assets. Useful for crack spreads location spreads and similar instruments.
Theta Time Decay,Θ_C = -∂C/∂t = -(S e^{-q(T-t)} σ φ(d_1))/(2√{T-t}) + qS e^{-q(T-t)} Φ(d_1) - rK e^{-r(T-t)} Φ(d_2),Option Pricing,Time decay measuring how option value changes as expiration approaches. Always negative for European options.
Vanna Cross Sensitivity,Vanna = ∂²V/∂S∂σ = -d_1 φ(d_1)/σ,Option Pricing,Second-order Greek measuring sensitivity of delta to volatility changes. Important for volatility trading strategies.
Vasicek Bond Price,P(t T) = A(t T) e^{-B(t T) r_t},Option Pricing,Affine solution for Vasicek model bond prices. Closed-form expression with A and B functions of model parameters.
Vasicek Short Rate Distribution,r_T | r_t ~ 𝒩(r_t e^{-κ(T-t)} + θ(1-e^{-κ(T-t)}) σ²/(2κ)(1-e^{-2κ(T-t)})),Option Pricing,Conditional distribution of short rate in Vasicek model. Gaussian with mean-reverting drift and time-dependent variance.
Volga Second-Order Volatility,Volga = ∂²V/∂σ² = S_t φ(d_1) d_1 d_2 √{T-t},Option Pricing,Second-order volatility sensitivity measuring convexity of option price to volatility changes. Important for volatility gamma.
Binomial Tree Pricing,V_0 = e^{-rΔt} ∑_{i=0}^n C(n i) p^i (1-p)^{n-i} max(S_0 u^i d^{n-i} - K 0),Option Pricing,Cox-Ross-Rubinstein binomial model for option pricing. Complete enumeration of all paths with risk-neutral probabilities.
Black-Scholes for Equity as Call,E_t = V_t Φ(d_1) - D e^{-r(T-t)} Φ(d_2),Credit Models,Merton model treating equity as call option on firm value. Strike equals debt face value D with maturity matching debt maturity.
Black-76 for Futures Options,C = e^{-r(T-t)} [F_t Φ(d_1) - K Φ(d_2)],Option Pricing,Black's model for European options on futures contracts. Standard for interest rate and commodity derivatives.
Binomial Tree Parameters,u = e^{σ√{Δt}} d = e^{-σ√{Δt}} p = (e^{(r-q)Δt} - d)/(u - d),Option Pricing,Cox-Ross-Rubinstein binomial tree parameters. Up and down factors plus risk-neutral probability for option pricing.
Forward Rate Agreement,V_{FRA} = δ (F_{actual} - F_{contract}) P(0 T),Option Pricing,Valuation of Forward Rate Agreement based on difference between actual and contracted forward rates.
Milstein SDE Discretization,S_{t+Δt} = S_t + (r-q)S_t Δt + σS_t √{Δt}Z + ½ σ²S_t (Z²-1)Δt,Option Pricing,Higher-order SDE discretization scheme. Includes additional term for improved convergence in Monte Carlo simulation.
Nelson-Siegel Extended,y(τ) = β_0 + β_1 (1-e^{-λ_1 τ})/(λ_1 τ) + β_2 ((1-e^{-λ_1 τ})/(λ_1 τ) - e^{-λ_1 τ}) + β_3 ((1-e^{-λ_2 τ})/(λ_2 τ) - e^{-λ_2 τ}),Option Pricing,Svensson extension of Nelson-Siegel model with additional curvature factor λ₂ for improved yield curve fitting flexibility. Related to basic Nelson-Siegel model with 3 parameters.
Trinomial Tree Pricing,V_0 = e^{-rΔt} [p_u ∑ V_u + p_m ∑ V_m + p_d ∑ V_d],Option Pricing,Trinomial tree extension allowing for middle branch. Improved stability and convergence for certain option types.
t-Copula for Dependence,C(u_1 u_2; ρ ν) = t_{ν ρ}(t_ν^{-1}(u_1) t_ν^{-1}(u_2)),Option Pricing,Copula function with Student-t marginal distributions. Captures tail dependence better than Gaussian copula for extreme events.
APT with Idiosyncratic Risk,𝔼[R_i] = r_f + ∑_{j=1}^k β_{ij} λ_j + θ_i σ_{ε i},Option Pricing,Extended APT incorporating idiosyncratic risk premium. Allows for pricing of non-systematic risk components.
Effective Duration Calculation,D_{Eff} = -(1/P) [P(y+Δy) - P(y-Δy)]/(2Δy),Option Pricing,Numerical duration calculation for bonds with embedded options. Captures effective interest rate sensitivity.
Hull-White Extended Vasicek,dr_t = (θ(t) - κ r_t) dt + σ dW_t^ℚ,Option Pricing,Time-dependent extension of Vasicek model allowing exact calibration to initial yield curve through θ(t) function.
OIS Swap Valuation,V_{OIS} = ∑_{i=1}^n (1/n ∑_{j ∈ period i} r_{oj}) P(0 T_i) - ∑_{i=1}^n R_{fixed} δ_i P(0 T_i),Option Pricing,Overnight Index Swap valuation using compounded overnight rates versus fixed leg payments.
VIX Index Calculation,VIX² = (2/T) ∑_i (ΔK_i/K_i²) e^{rT} Q(K_i) - (1/T)(F/K_0 - 1)²,Option Pricing,CBOE Volatility Index calculation from SPX options. Model-free estimate of expected 30-day volatility.
Key Rate Duration Numerical,∂P/∂y_{t_i} ≈ -[P(y_{t_i}+Δ) - P(y_{t_i}-Δ)]/(2Δ) × (1/P),Option Pricing,Numerical calculation of key rate duration measuring sensitivity to specific yield curve points.
American Option Monte Carlo,V_j = max(Exercise_j e^{-rΔt} 𝔼[V_{j+1}|S_j]),Option Pricing,Least-squares Monte Carlo for American options. Regression-based estimation of continuation values for optimal exercise.
Theta Time Decay Calculation,Θ_{call} = -(S_t φ(d_1) σ)/(2√{T-t}) - rK e^{-r(T-t)} Φ(d_2),Option Pricing,Time decay for European call options. Measures rate of value loss as expiration approaches.
Heath-Jarrow-Morton Framework,df(t T) = μ(t T)dt + σ(t T)dW_t^ℚ,Option Pricing,General framework for arbitrage-free modeling of entire forward rate curve evolution.
Rho Interest Rate Sensitivity,ρ_{call} = ∂V/∂r = K(T-t)e^{-r(T-t)} Φ(d_2),Option Pricing,Sensitivity of option price to risk-free rate changes. Positive for calls negative for puts due to present value effects.
ADI Finite Difference Method,(1 - Δt/2 A_x) u^* = (1 + Δt/2 A_y) u^n,Option Pricing,Alternating Direction Implicit method for multi-dimensional PDEs. Efficient for options with multiple state variables.
ARIMA Time Series Model,(1 - ∑_{i=1}^p φ_i L^i)(1 - L)^d X_t = (1 + ∑_{j=1}^q θ_j L^j) ε_t,Option Pricing,Autoregressive Integrated Moving Average model for time series forecasting. Standard tool for statistical arbitrage.
LIBOR Market Model Advanced,dL_i(t) = μ_i(t)L_i(t)dt + σ_i(t)L_i(t)dW_i(t),Option Pricing,Multi-factor model for forward LIBOR rates with correlation structure. Captures realistic co-movement across yield curve.
Rough Heston Affine Structure,𝔼[exp(uX_T + vV_T)|ℱ_t] = exp(ϕ(T-t u v) + ψ(T-t u v)V_t + ∫_t^T χ(T-s u v)Z_s ds),Option Pricing,Characteristic function for rough Heston model with fractional volatility dynamics. Preserves affine structure despite non-Markovian properties.
