Title,Equation,Main_Category,Notes
Weighted Average Coupon,WAC = ∑[i=1 to M] w_i × r_i,Fixed Income,"WAC represents the weighted average coupon rate of loans within an MBS pool, calculated as the balance-weighted sum of individual mortgage rates r_i. WAC determines the gross interest income of the pool and is a primary determinant of the MBS yield. As loans prepay, the WAC evolves because loans with higher or lower coupons are removed differentially depending on rate environment. Investors earn the net coupon: WAC minus servicing spread minus guarantee fee for agency MBS."
Weighted Average Maturity,WAM = ∑[i=1 to M] w_i × T_i,Fixed Income,"WAM represents the weighted average maturity of loans within an MBS pool, calculated as the weighted sum of individual loan maturities T_i with weights w_i proportional to their outstanding balances. WAM measures the time-weighted maturity of the underlying mortgage pool and is disclosed for all agency MBS. As loans prepay, the WAM declines because older loans are removed from the pool. This metric helps investors understand the pool's maturity characteristics and how they evolve through prepayment activity."
Yield to Maturity (YTM),P_{mkt} = \sum_{i=1}^n C e^{-y t_i} + F e^{-y t_n},Fixed Income,The YTM is the internal rate of return (IRR) of the bond. It is the single constant discount rate 'y' that equates the present value of the bond's cash flows to its current market price. It relies on the assumptions that the bond is held to maturity and that all coupons can be reinvested at the same rate 'y'.
Garman-Kohlhagen Model,C = S_0 e^{-r_f T} \Phi(d_1) - K e^{-r_d T} \Phi(d_2),Foreign Exchange,Currency and FX modeling
Jarrow-Yildirim,dI_t/I_t = (r_n(t) - r_r(t)) dt + \sigma_I dW_I,Foreign Exchange,"This model treats the CPI index I_t like a foreign currency. The 'Domestic' rate is the nominal interest rate r_n, and the 'Foreign' rate is the real interest rate r_r. The evolution of CPI is driven by the differential between nominal and real rates, plus an inflation volatility term. It uses HJM dynamics for both real and nominal rate curves."
Power Reverse Dual Currency (PRDC),V_PRDC = Notional * max( product_{i=1}^n (S_ti/S_0)^{alpha_i},Foreign Exchange,Structured Products
**Heston Characteristic Function:**,"\phi(u, t, v) = \mathbb{E}^{\mathbb{Q}}\left[ e^{iu \ln S_T} \middle| v_t = v \right] = e^{C(t) + D(t) v + iu \ln S_t}",Interest Rate Models,where C(t) and D(t) solve the Riccati ODEs:
**Par Value at Reset:**,P(t) = 1 \quad \text{if } t = T_{i-1}^+,Interest Rate Models,"**Theoretical Context:** Immediately following a coupon reset, the floating rate note trades at par value. This is because the reset sets the next coupon equal to the prevailing forward rate, which ensures the bond's value equals its principal. This par-trading property simplifies mark-to-market for FRNs."
CAPM as Single-Factor APT Special Case,R_i = \mathbb{E}[R_i] + \beta_i (R_M - \mathbb{E}[R_M]) + \epsilon_i,Interest Rate Models,Term structure model for interest rate derivatives
Interest Rate Cap/Floor,"C_{\text{caplet}} = P(0, T_i) \left( F(0, T_{i-1}, T_i) \Phi(d_1) - K \Phi(d_2) \right)",Interest Rate Models,Term structure model for interest rate derivatives
Heston Model,dS_t = (r - q) S_t dt + \sqrt{v_t} S_t dW_S^{(1)},Interest Rate Models,Term structure model for interest rate derivatives
Market Beta in Multi-Factor Context,"\beta_{iM} = \sum_{j=1}^k \beta_{ij} \text{Cov}(F_j, R_M) / \text{Var}(R_M)",Interest Rate Models,"Variables: - \beta_{iM}: Traditional CAPM market beta - \text{Cov}(F_j, R_M): Covariance between factor j and market return - \text{Var}(R_M): Variance of market return - R_M: Market index return"
Interest Rate Swap,"C_{\text{swaption}} = P(0, T_e) \left( S_0 \Phi(d_1) - K \Phi(d_2) \right)",Interest Rate Models,Term structure model for interest rate derivatives
Variance Swap Fair Strike,"\sigma_{\text{fair}}^2 = \frac{1}{P(0,T)} \mathbb{E}^{\mathbb{Q}}\left[ \int_0^T \sigma_s^2 ds \right] = \frac{1}{P(0,T)} \int_0^T \mathbb{E}^{\mathbb{Q}}[\sigma_s^2] ds",Interest Rate Models,Term structure model for interest rate derivatives
Volatility Swaps,\text{Fair Volatility Strike } K_{\text{vol}} \approx \sqrt{K_{\text{var}}} - \frac{\text{Var}(\sqrt{\text{Realized Variance}})}{2 K_{\text{vol}}^{3/2}},Interest Rate Models,"**Explanation:** Volatility swaps pay realized volatility minus strike. Due to convexity (Jensen's inequality), the fair volatility strike is less than the square root of the variance strike. The convexity adjustment depends on the volatility of volatility."
APT Risk Premium Decomposition,\mathbb{E}[R_i] - r_f = \beta_{iM} (\mathbb{E}[R_M] - r_f) + \sum_{j=2}^k \beta_{ij} \lambda_j + \alpha_i^{APT},Interest Rate Models,Variables: - \beta_{iM} (\mathbb{E}[R_M] - r_f): CAPM predicted return - \sum_{j=2}^k \beta_{ij} \lambda_j: Additional APT risk premiums from non-market factors - \alpha_i^{APT}: Abnormal return not explained by market and other factors
Volatility Swap Fair Strike,"\sigma_{\text{fair}} = \sqrt{\frac{1}{P(0,T)} \mathbb{E}^{\mathbb{Q}}\left[ \int_0^T \sigma_s^2 ds \right]}",Interest Rate Models,**Variables:** - σ_{\text{fair}}: Fair volatility strike (square root of fair variance) - Other variables as defined
Credit Default Swap (CDS) Pricing,s = \frac{(1-R) \int_0^T \mathbb{E}^{\mathbb{Q}}[ e^{-\int_0^t r_s ds} \lambda_t e^{-\int_0^t \lambda_s ds} ] dt}{\int_0^T \mathbb{E}^{\mathbb{Q}}[ e^{-\int_0^t r_s ds} e^{-\int_0^t \lambda_s ds} ] dt},Interest Rate Models,**Variables:** - s: CDS spread (annual premium in basis points) - R: Recovery rate (fraction of face value recovered upon default) - λ_t: Hazard rate (default intensity) - e^{-\int_0^t r_s ds}: Risk-neutral discount factor - e^{-\int_0^t \lambda_s ds}: Survival factor - T: CDS maturity | **Variables:** - \(R\): Recovery rate (fraction of face value recovered upon default) - \(s\): CDS spread (premium paid per year)
Interest Rate Cap/Floor,\text{CAPM: } k = 1 \text{ (market portfolio only)},Interest Rate Models,Term structure model for interest rate derivatives
Interest Rate Swap,\text{Payer Swaption} = A(0) \left[ r_{FWD} N(d_1) - K N(d_2) \right],Interest Rate Models,Term structure model for interest rate derivatives
Arbitrage Pricing Theory (APT),E[R_i] = R_f + \sum_{k=1}^K \underbrace{\beta_{ik}}_{\text{Factor Loading}} \underbrace{\lambda_k}_{\text{Risk Premium}},Interest Rate Models,"APT is a multi-factor equilibrium model. Unlike CAPM, which assumes a single market factor, APT assumes returns are generated by K systematic factors (like inflation, industrial production, yield spread). \beta_{ik} measures the sensitivity of asset i to factor k, and \lambda_k is the excess return the market demands for bearing unit risk of factor k. It relies on the assumption that in a large, well-diversified economy, idiosyncratic risk can be diversified away, leaving only factor risk priced."
Basel IRB,K = LGD [ N((G(PD) + \sqrt{R} G(0.999))/\sqrt{1-R}) - PD ] \cdot MA,Interest Rate Models,Internal ratings-based capital requirement.
Bermudan Swaption,V_n = \max(g_n \mathbb{E}[V_{n+1} | \mathcal{F}_n]),Interest Rate Models,Backward induction for Bermudan exercise optimization.
Black-Cox First Passage,tau = inf{ t >= 0: V_t <= K(t) },Interest Rate Models,Default can occur anytime before maturity when assets hit barrier K(t). Time-dependent barrier (often exponential decay). Captures early default dynamics.
Black-Litterman,E[R] = [(\tau \Sigma)^{-1} + P^T \Omega^{-1} P]^{-1} [(\tau \Sigma)^{-1} \Pi + P^T \Omega^{-1} Q],Interest Rate Models,"Addresses the instability of Markowitz optimization. It starts with the 'Equilibrium' returns \Pi (implied by market cap weights) as a prior, and updates them with the investor's subjective 'Views' Q (with uncertainty \Omega) using Bayesian methodology. The result is a set of stable expected returns that produces intuitive portfolios deviations from the benchmark. | Combining equilibrium returns with investor views."
CAPM,\mathbb{E}[R_i] = R_f + \beta_i (\mathbb{E}[R_m] - R_f),Interest Rate Models,Equilibrium expected return based on systematic risk.
CDS Pricing (Par Spread),S = \frac{\underbrace{(1-R) \int e^{-rt} Q(t) \lambda(t) dt}_{\text{Protection Leg}}}{\underbrace{\int e^{-rt} Q(t) dt}_{\text{Premium Leg (PV01)}}},Interest Rate Models,"The Credit Default Swap (CDS) spread S is the premium paid to insure against default. The fair spread equates the Present Value of the Protection Leg (expected payout (1-R) upon default) to the Present Value of the Premium Leg (annuity payments S made while the entity survives). Q(t) is the survival probability. Intuitively, Spread \approx (1-R) * Default Probability."
CEV Model,dS_t = \mu S_t dt + \sigma S_t^\beta dW_t,Interest Rate Models,Constant elasticity of variance capturing leverage effect.
Convexity Measure,E^T[S_T] = S_0 + \underbrace{\frac{1}{2} S_0 \sigma_S^2 T \frac{P''(S_0)}{P'(S_0)}}_{\text{Convexity Adjustment}},Interest Rate Models,"CMS rates (e.g., 10y Swap rate) are paid at T but their value is derived from a stream of payments over a long horizon (10 years). Standard forward rates relate to single periods. To price a payoff on a CMS rate using the standard forward curve, one must add a convexity adjustment. This corrects for the fact that the 'Bond Price' vs 'Yield' relationship is non-linear (convex)."
CSA Discounting (OIS),V(t) = E^Q [ \exp(-\int_t^T \underbrace{c(u)}_{\text{Collateral Rate}} du) \text{Payoff} ],Interest Rate Models,"Post-2008, the market realized that the risk-free rate is defined by the collateral agreement (CSA). If I post cash collateral earning the Fed Funds rate, the trade is effectively discounted at Fed Funds (OIS). LIBOR is no longer the risk-free proxy; it contains bank credit risk. This shift to 'Dual Curve' pricing (OIS for discounting, LIBOR for forwarding) fundamentally changed fixed income analytics."
Interest Rate Cap/Floor,Cap(t) = \sum_{i=1}^n Caplet(t,Interest Rate Models,T_i
Capital Asset Pricing Model,E[R_i] - r_f = beta_i (E[R_m] - r_f) with beta_i = Cov(R_i,Interest Rate Models,Factor Models
Caplet Price (Black),C = P(0,Interest Rate Models,T_{i-1} | Interest Rate Derivatives
Constant Maturity Swap (CMS),V_CMS = E^Q[ int_t^T max(S_u - K,Interest Rate Models,Interest Rate Derivatives
Constant Product AMM,x \cdot y = k,Interest Rate Models,Uniswap invariant.
Convexity,C = (1/P) d^2P/dy^2 = (1/P) sum_{i=1}^n T_i(T_i+1) CF_i/(1+y)^(T_i+2),Interest Rate Models,Second-order price sensitivity to yield. Positive convexity beneficial: prices increase more when yields fall than decrease when yields rise. Captures curvature.
Convexity Adjustment,F_convex = F + 1/2 Var( int_t^T f(s) ds ),Interest Rate Models,Adjustment from forward rate expectation to futures price. Futures price lower than forward for positive correlation between rates and discount factors. Crucial for Eurodollar futures.
Interest Rate Cap/Floor,"Dynamic Conditional CAPM (DCAPM)
\beta_{i,t} = \frac{\text{Cov}_t(R_{i,t+1}, R_{m,t+1})}{\text{Var}_t(R_{m,t+1})}
where the conditional covariance and variance are modeled with GARCH processes: \text{Var}_t(R_{m,t+1}) = \omega + \alpha \epsilon_{m,t}^2 + \beta \text{Var}_{t-1}(R_{m}). Similarly for the conditional covariance. This captures time-varying second moments. Empirical implementations find that conditional variances are highly persistent, implying that risk premiums vary with market volatility. During high volatility periods, expected returns increase for a given beta.",Interest Rate Models,Term structure model for interest rate derivatives
Covered Interest Rate Parity,F_0 = S_0 * [(1 + r_d T)/(1 + r_f T)],Interest Rate Models,"No-arbitrage relationship between FX forward and spot. S_0: spot (domestic per foreign), F_0: forward. Deviation implies arbitrage: swap points, carry trade."
Credit Value Adjustment (CVA),"CVA = -LGD × Σ_{i=1}^{n} EE(t_i) × PD(t_{i-1}, t_i) × (1 - PD_own(0, t_{i-1}))",Interest Rate Models,"Where LGD represents loss given default (1 - recovery rate), EE(t_i) denotes the discounted expected exposure at time t_i, PD(t_{i-1}, t_i) is the marginal probability of counterparty default between times t_{i-1} and t_i, and PD_own(0, t_{i-1}) represents the survival probability of the calculating party until t_{i-1}. This formulation captures bilateral counterparty risk by incorporating the possibility that the calculating entity may default before the counterparty, thereby eliminating future exposure."
Credit Derivative Pricing,CLN_0 = P(0 T) - CDS_{seller},Interest Rate Models,Bond with embedded credit default swap.
Forward Rate Model,"The no-arbitrage condition for cross-currency basis swaps:
(1 + r_{USD}^{OIS})^T = (1 + r_{EUR}^{OIS})^T \times \frac{FX_{spot}}{FX_{forward}} \times (1 + \text{basis}_{EUR/USD})^T
This equation demonstrates how deviations from covered interest rate parity create persistent cross-currency basis, where the basis term represents the market-clearing price for exchanging EUR versus USD funding across different tenors.",Interest Rate Models,"The dynamic evolution of cross-currency basis under funding constraints: d\text{basis}_{i/j} = \kappa (\text{basis}_{i/j}^{long-run} - \text{basis}_{i/j}) dt + \sigma dW_t + \text{jump terms} This mean-reverting process captures both the temporary nature of funding dislocations and the structural components driving persistent basis levels, where jump terms represent funding market stress events."
Current Yield,Y_{curr} = \underbrace{\frac{C_{annual}}{P_{mkt}}}_{\text{Income Return}},Interest Rate Models,"Current Yield provides a snapshot of the income return relative to the current price. Unlike YTM, it ignores capital gains/losses (pull to par) and the time value of money. It is a simplistic measure often used by income-focused investors."
Digital Option,V_digital = P(0,Interest Rate Models,Interest Rate Derivatives
Discount Factor Curve Construction,"P(t,T) = exp(-∑[i=1 to n] f_iΔt_i)",Interest Rate Models,"This discrete representation constructs discount factors from piecewise constant forward rates. The sum accumulates forward rates over subintervals, where f_i applies to the i-th interval of length Δt_i. This bootstrap approach is fundamental to yield curve construction from market instruments. The relationship enables calibration to observed prices by solving for forward rates that reproduce market quotes."
Dispersion Trading,P&L \propto \sigma_{idx}^2 - \sum w_i^2 \sigma_i^2,Interest Rate Models,Index vs single-stock variance swap strategy.
Drift Adjustments:,"μ_k(t) = σ_k(t) * Σ_{j=1}^{k} * [τ_j * F_j(t) * σ_j(t) * ρ_{k,j}] / [1 + τ_j * F_j(t)]",Interest Rate Models,"This drift adjustment emerges when moving from the terminal measure Q^{T_N} to the spot LIBOR measure. The summation runs over all forward rates maturing after T_k, with τ_j representing the day count fraction for period j. The correlation structure ρ_{k,j} between forward rates drives the non-zero drift - perfectly correlated rates would simplify this expression significantly. The denominator [1 + τ_j * F_j(t)] reflects the convexity adjustment from the discrete compounding of forward rates."
LIBOR Market Model,100 - R_3M LIBOR,Interest Rate Models,Quarterly interest rate contract. Price = 100 - rate. Convexity adjustment from futures vs forward. Used for LIBOR term structure.
Expected Shortfall (CVaR),CVaR_alpha = E[L | L > VaR_alpha] = mu + sigma/(1-alpha) phi(z_alpha),Interest Rate Models,Coherent risk measure (subadditive). Average loss beyond VaR. For normal: CVaR = mu + (sigma/(1-alpha)) phi(z_alpha). More conservative than VaR. Regulatory capital standard.
Fama-French 3-Factor,R_i - R_f = \alpha + \beta^{MKT}(R_m - R_f) + \beta^{SMB} SMB + \beta^{HML} HML,Interest Rate Models,Empirical extension of CAPM with size and value factors.
Floating Rate Bond,V_{float}(t_i) = \underbrace{F}_{\text{Par}},Interest Rate Models,"A floating rate note (FRN) pays a coupon linked to a reference rate (e.g., LIBOR + Spread). At each reset date $t_i$, the coupon adjusts to the market rate, making the bond's value reset to Par (ignoring changes in the issuer's credit spread). This makes floaters immune to interest rate risk (Duration \approx 0)."
Floorlet Price (Black),P = P(0,Interest Rate Models,T_{i-1} | Interest Rate Derivatives
"For the exponential volatility structure, the forward rate dynamics can be reduced to:","dr(t) = [∂f(0,t)/∂t + λf(0,t) + η(t)^2/λ (1-exp(-λt)) - λr(t)]dt + η(t)dW(t)",Interest Rate Models,"where r(t) = f(t,t) is the short rate and η(t) = σ_0 exp(-λt). This transformation shows that the short rate follows a Markovian process when the volatility has exponential form."
Forward Swap Rate,S_{m,Interest Rate Models,T_m) - P(t
Forward Variance Model,d(sigma_t^2 * t) = omega_t dt,Interest Rate Models,Forward variance curve dynamics. Variance swap fair strike = initial forward variance. Volatility derivatives depend on forward variance structure. ARCH-like dynamics.
G2++ Model Dynamics,r_t = x_t + y_t + phi(t),Interest Rate Models,"Two-factor Gaussian model capturing slope and curvature. x, y mean-reverting factors. Deterministic shift phi(t) fits initial curve. Correlation between factors."
Interest Rate Cap/Floor,"V_{global} = e^{-rT} max(min(\notag_{i=1}^{n} R_i, GlobalCap), GlobalFloor)",Interest Rate Models,"This equation incorporates global floor and cap provisions that apply to the total accumulated return across all periods, distinct from local caps/floors that apply period-by-period. The GlobalCap and GlobalFloor represent the maximum and minimum total returns achievable, providing ultimate downside protection and upside limitation. This dual structure - local limits on individual periods plus global limits on total performance - creates sophisticated risk-return profiles. The global features are particularly important for risk management, as they bound the extreme tail behavior that could arise from consecutive periods of extreme performance. The interaction between local and global constraints requires careful modeling of the entire path-dependent structure, making Monte Carlo simulation essential for accurate pricing."
HJM Drift Condition,"\mu(t,T) = \sigma(t,T) \underbrace{\int_t^T \sigma(t,u) du}_{\text{Volatility Integral}}",Interest Rate Models,"The Heath-Jarrow-Morton (HJM) framework models the evolution of the entire forward rate curve f(t,T) rather than just the short rate. The drift condition is a profound no-arbitrage result: it shows that the drift of the forward rates under the risk-neutral measure is fully determined by the volatility structure \sigma(t,T). You cannot freely choose both drift and volatility; choosing vol dictates the drift to prevent arbitrage."
Hawkes Process (Order Arrival),\lambda(t) = \mu + \sum_{t_i < t} \underbrace{\alpha e^{-\beta(t-t_i)}}_{\text{Self-Excitation}},Interest Rate Models,"High-frequency order arrivals are not independent Poisson events; they cluster. A Hawkes process captures this 'self-exciting' property: the arrival of a trade at t_i increases the intensity \lambda(t) of future trades, decaying exponentially over time. This models order book dynamics, where one large order triggers a cascade of algos reacting, creating liquidity avalanches."
Interest Rate Swap PV (Fixed),V_fixed = tau sum_{i=1}^n R_fixed P(0,Interest Rate Models,t_i)
Interest Rate Swap,V_{swap}(t) = P(t,Interest Rate Models,T_n) - K \sum_{i=1}^n \tau_i P(t
Capital Valuation Adjustment,KVA = \int_0^T h \cdot RC_t \cdot DF(t) dt,Interest Rate Models,Capital valuation adjustment for regulatory capital cost.
Interest Rate Cap/Floor,\text{KVA} = \int_0^T \underbrace{h(t)}_{\text{Hurdle Rate}} \cdot E[\underbrace{K(t)}_{\text{Reg Capital}}] dt,Interest Rate Models,"Capital Valuation Adjustment is the lifetime cost of holding regulatory capital (Basel III) against the trade. Banks must set aside capital K(t) for potential losses. This capital is expensive (equity investors demand return h(t), e.g., 10-15%). KVA prices this cost into the trade. It makes capital-intensive trades (like long-dated uncollateralized swaps) significantly more expensive."
LIBOR Market Model (LMM),dF_j(t) = mu_j(t) F_j(t) dt + sigma_j(t,Interest Rate Models,Interest Rate Derivatives
LIBOR Market Model (LMM),\frac{dL_k(t)}{L_k(t)} = \mu_k(t) dt + \sigma_k(t) dW_t,Interest Rate Models,Models dynamics of observable discrete forward rates.
Convexity Measure,"V = N \cdot D(0,T) \cdot [L_0 + \underbrace{\frac{\sigma^2 L_0^2 T}{1+L_0 \tau}}_{\text{Convexity Adj}}]",Interest Rate Models,"A standard swap resets at T-1 and pays at T. An 'In-Arrears' swap resets at T and pays at T. Because the payment happens later relative to the fixing, and higher rates imply lower discount factors, there is a correlation between the rate and the discount factor. This requires a convexity adjustment (positive) to the forward rate."
Cross Currency Basis,Basis = S_t^WTI - S_t^Brent - Transport,Interest Rate Models,"Price difference between locations. Reflects transportation costs, quality differentials. WTI-Brent basis changed after Cushing bottlenecks. Basis swaps for location risk."
MBS Hedging with Key Rate Durations,ΔV = ∑[i=1 to K] w_i × D_{i}^{MBS} × Δr_i,Interest Rate Models,"ΔV represents the change in MBS value from yield curve movements, decomposed using key rate durations D_{i}^{MBS} at tenor i with weight w_i representing exposure. This decomposition enables precise hedging by taking offsetting positions in Treasury futures or swaps at each key tenor. For example, to hedge an MBS position, sell Treasury futures with durations matching the key rate duration profile. The hedge accounts for non-parallel curve movements better than a single duration hedge. Residual exposure after hedging reflects basis risk between MBS and hedging instruments."
MBS Total Return,TR = ∑[t=1 to T] CF_t / P_0 - 1,Interest Rate Models,"TR represents the total return of holding MBS from purchase to horizon T, where CF_t includes all interest, principal, and reinvestment income. P_0 is the initial purchase price. This ex-post measure captures realized performance including return from price changes if sold before maturity. Total return differs from yield because it incorporates actual prepayment experience versus model assumptions and realized reinvestment rates. For performance attribution, total return can be decomposed into income return, price return, and roll-down return components."
MBS Yield Curve Key Rate Duration,D_{key} = -(P_+ - P_-) / (2P_0 × Δr_{key}),Interest Rate Models,"D_{key} represents key rate duration, measuring sensitivity to a localized shift in the yield curve at a specific key tenor (e.g., 2-year, 5-year, 10-year). Unlike parallel shift duration, key rate duration captures how MBS value responds to non-parallel yield curve movements. This is crucial for MBS because prepayments depend on mortgage rates which are tied to intermediate-term yields. The sum of all key rate durations across the curve equals the parallel shift duration. Key rate durations help assess exposure to yield curve flattening or steepening scenarios."
Interest Rate Swap,"\text{Payer Swaption} = A(0) \mathbb{E}^A[\max(r_{T_S}(T_S,T_E) - K, 0)]",Interest Rate Models,Term structure model for interest rate derivatives
LIBOR Market Model,"r_{PAR} = \frac{\sum_{i=1}^{n} [f_{LIBOR}(0,T_{i-1},T_i) + s] \tau_i P_{OIS}(0,T_i)}{\sum_{i=1}^{n} \tau_i P_{OIS}(0,T_i)}",Interest Rate Models,Term structure model for interest rate derivatives
Interest Rate Swap,"The cross-currency funding basis adjustment:
FVA_{CCY} = \sum_i (r_{USD}^{F,i} - r_{USD}^{OIS,i} - \text{basis}_i) \times \text{exposure}_i \times \text{discount factor}_i
This quantifies the additional funding cost arising from currency mismatches between trade denomination and actual funding sources, where basis_i represents the cross-currency basis swap spread.",Interest Rate Models,Term structure model for interest rate derivatives
Interest Rate Cap/Floor,"Black CAPM with Inefficient Market Proxy Test
\hat{\lambda}_0 = \frac{\sum_{i=1}^N \frac{1}{\hat{\beta}_i}(\bar{R}_i - R_f)}{\sum_{i=1}^N \frac{1}{\hat{\beta}_i^2}}
where \hat{\lambda}_0 estimates the zero-beta rate when using an inefficient market proxy, \hat{\beta}_i are estimated betas, and \bar{R}_i are sample mean returns. Stambaugh (1982) derived this minimum-distance estimator. When the market proxy is inefficient, the estimated zero-beta rate is biased. The bias direction depends on how the proxy deviates from the true market portfolio. This test helps assess whether CAPM rejections stem from theoretical failure or from proxy inefficiency.",Interest Rate Models,Term structure model for interest rate derivatives
Model Uncertainty Reserve,R_{model} = \alpha Notional \sigma_{model},Interest Rate Models,Capital buffer for model risk.
Interest Rate Swap,"P_{\text{swaption}} = P(0, T_e) \left( K \Phi(-d_2) - S_0 \Phi(-d_1) \right)",Interest Rate Models,Term structure model for interest rate derivatives
Interest Rate Cap/Floor,"P_{\text{floorlet}} = P(0, T_i) \left( K \Phi(-d_2) - F(0, T_{i-1}, T_i) \Phi(-d_1) \right)",Interest Rate Models,Term structure model for interest rate derivatives
OIS Pricing,V_OIS = sum_{i=1}^n (1/n sum_{j in period i} r_oj) P(0,Interest Rate Models,Interest Rate Derivatives
"P(t,T) = exp[-A(t,T) - B(t,T)r(t)]","where B(t,T) = (1 - e^{-α(T-t)})/α and A(t,T) = ∫_t^T θ(s)B(s,T)ds - σ²/(4α³)[1 - e^{-α(T-t)}]²[1 - e^{-2αt}]",Interest Rate Models,"This closed-form solution for zero-coupon bond prices is a key advantage of the Hull-White model. The function A(t,T) captures the convexity adjustment and ensures the model matches the initial term structure. The exponential affine form arises from the Gaussian nature of the short rate process."
Portfolio Variance Decomposition,\sigma_p^2 = \mathbf{w}^\prime \Sigma \mathbf{w} = \sum_{i=1}^N \sum_{j=1}^N w_i w_j \sigma_{ij},Interest Rate Models,"This fundamental equation represents the total variance of a portfolio with N assets, where \mathbf{w} is the N-dimensional vector of portfolio weights, \Sigma is the covariance matrix of asset returns, and \sigma_{ij} represents the covariance between assets i and j. The double summation captures both individual asset variances (when i=j) and pairwise covariances. For PhD-level analysis, note that this decomposition assumes the covariance matrix is positive semi-definite, which ensures \sigma_p^2 \geq 0. The quadratic form \mathbf{w}^\prime \Sigma \mathbf{w} is homogeneous of degree 2 in portfolio weights, making it suitable for optimization using quadratic programming techniques. Advanced considerations include the impact of estimation error in \Sigma, particularly when N approaches or exceeds the number of observations, leading to eigenvalue shrinkage and regularization techniques."
Prepayment Model Calibration Loss Function,L(θ) = ∑[i=1 to K] w_i × (Prepayment_i^{model}(θ) - Prepayment_i^{observed})^2,Interest Rate Models,L(θ) represents the loss function for calibrating prepayment model parameters θ to historical data. The function minimizes the weighted sum of squared errors between model-predicted prepayments and observed prepayments across K historical periods. The weights w_i can prioritize more recent observations or specific loan segments. This least-squares calibration ensures the model captures empirical patterns while avoiding overfitting. Alternative specifications include maximum likelihood estimation assuming prepayments follow binomial distributions or incorporating regularization terms to prevent extreme parameter values.
RATCHET FEATURE MECHANICS,"R_{accumulated} = \notag_{i=1}^{n} max(min(ln(S_{t_i}/S_{t_{i-1}}), c), f)",Interest Rate Models,"This equation describes the accumulated return under ratchet mechanisms, where c represents the local cap and f represents the local floor on logarithmic returns. The ratchet feature locks in positive returns while providing downside protection, creating a path-dependent payoff structure. The logarithmic return formulation is common in continuous-time models and provides mathematical tractability. The mechanism ensures that extreme returns in either direction are truncated, creating a smoother return profile. The product structure means that each period's capped/floored return contributes multiplicatively to the final payoff, leading to complex interactions between consecutive periods' performance."
Refinancing Incentive Model,CPR_t^{refi} = α × Φ(β × (r_t - WAC_t) + γ × (WAC_t - r_t)_+ + ε_t),Interest Rate Models,"This equation models refinancing-driven prepayments as a function of the incentive to refinance. r_t represents the current mortgage rate, WAC_t is the weighted average coupon of the MBS pool, and (x)_+ denotes the positive part function max(x,0). The term (r_t - WAC_t) captures the burnout effect (prepayments slow as high-coupon mortgages are removed), while (WAC_t - r_t)_+ captures refinancing incentive when current rates fall below pool coupon. Φ is the standard normal CDF, α scales overall prepayment speed, β controls sensitivity to burnout, γ measures refinancing intensity, and ε_t represents random shocks. This structure captures the path-dependent nature of refinancing behavior."
Partial Differential Equation,w_i \frac{\partial \sigma_p}{\partial w_i} = w_j \frac{\partial \sigma_p}{\partial w_j} = \frac{\sigma_p}{N},Interest Rate Models,"A portfolio construction method that allocates risk equally rather than capital. In a traditional 60/40 portfolio, equities contribute 90% of the risk. Risk Parity leverages low-volatility assets (bonds) so their risk contribution equals that of equities, ostensibly creating a more robust portfolio across different economic regimes."
SABR-LMM,"dL_k = \alpha_k L_k^\beta dW_L, \quad d\alpha_k = \nu \alpha_k dW_\alpha",Interest Rate Models,A hybrid model combining the LMM structure (for evolving the yield curve) with the SABR volatility model (for capturing the smile of each rate). This is essential for pricing complex interest rate exotics like Bermudan Swaptions or TARNs where both the correlation structure of the curve and the volatility smile of each rate matter significantly.
SABR-LMM (Multi-Factor),dF_j = mu_j dt + sigma_j F_j^beta dW_j,Interest Rate Models,Vector SABR for multiple forwards. Correlation matrix for dW_j. Captures joint dynamics of forward curve. Used for multi-asset interest rate derivatives.
Schwartz Model (One Factor),d(\ln S_t) = \underbrace{\kappa(\alpha - \ln S_t)}_{\text{Mean Reversion}} dt + \sigma dW_t,Interest Rate Models,"Unlike stocks, commodities exhibit mean reversion because high prices induce supply (mining/planting) and reduce demand, pushing prices back down. The Schwartz model captures this by using an Ornstein-Uhlenbeck process for the log-price. 'alpha' is the long-run equilibrium price level."
Simple Rate Conversion,"L(t,T) = (1/P(t,T) - 1)/(T-t)",Interest Rate Models,"L(t,T) represents the simple (act/360 or act/365) rate between times t and T, commonly used in money markets and LIBOR settings. This linear compounding convention calculates interest as principal times rate times day count fraction. The relationship shows how simple rates relate to discount factors: higher simple rates correspond to lower discount factors. Simple rates are additive over periods but do not account for compounding within periods."
Interest Rate Swap,C_{swap} \approx C_{fixed},Interest Rate Models,"Similar to duration, the convexity of a swap is dominated by the fixed leg. This means swaps exhibit the same desirable convexity properties as bonds, making them effective hedging instruments for bond portfolios."
Interest Rate Swap,D_{swap} \approx D_{fixed} - \underbrace{D_{float}}_{\approx 0},Interest Rate Models,"The duration of a receiver swap (receive fixed, pay float) is approximately equal to the duration of the fixed leg, because the floating leg has negligible duration (resets to par). Thus, entering a receiver swap is equivalent to buying a long-term bond funded by short-term borrowing."
